Rule,Author,Description,Strings,CVE
CALENDAR_APT1,AlienVault Labs,,"$b9 = ""PoqKigY7ggH+VcnqnTcmhFCo9w=="" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$b10 = ""8oqKiqb5880/uJLzAsY="" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s1 = ""Mozilla4.0 (compatible; MSIE 7.0; Win32)"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s2 = ""Mozilla5.1 (compatible; MSIE 8.0; Win32)"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s3 = ""Delay"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s4 = ""Getfile"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s5 = ""Putfile"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s6 = ""---[ Virtual Shell]---"" wide ascii",CVE not found
COMBOS_APT1,AlienVault Labs,,"$s7 = ""Not Comming From Our Server %s."" wide ascii",CVE not found
DAIRY_APT1,AlienVault Labs,,"$s1 = ""Mozilla/4.0 (compatible; MSIE 7.0;)"" wide ascii",CVE not found
DAIRY_APT1,AlienVault Labs,,"$s2 = ""KilFail"" wide ascii",CVE not found
DAIRY_APT1,AlienVault Labs,,"$s3 = ""KilSucc"" wide ascii",CVE not found
DAIRY_APT1,AlienVault Labs,,"$s4 = ""pkkill"" wide ascii",CVE not found
DAIRY_APT1,AlienVault Labs,,"$s5 = ""pklist"" wide ascii",CVE not found
GLOOXMAIL_APT1,AlienVault Labs,,"$s1 = ""Kill process success!"" wide ascii",CVE not found
GLOOXMAIL_APT1,AlienVault Labs,,"$s2 = ""Kill process failed!"" wide ascii",CVE not found
GLOOXMAIL_APT1,AlienVault Labs,,"$s3 = ""Sleep success!"" wide ascii",CVE not found
GLOOXMAIL_APT1,AlienVault Labs,,"$s4 = ""based on gloox"" wide ascii",CVE not found
GLOOXMAIL_APT1,AlienVault Labs,,"$pdb = ""glooxtest.pdb"" wide ascii",CVE not found
GOGGLES_APT1,AlienVault Labs,,"$s1 = ""Kill process success!"" wide ascii",CVE not found
GOGGLES_APT1,AlienVault Labs,,"$s2 = ""Kill process failed!"" wide ascii",CVE not found
GOGGLES_APT1,AlienVault Labs,,"$s3 = ""Sleep success!"" wide ascii",CVE not found
GOGGLES_APT1,AlienVault Labs,,"$s4 = ""based on gloox"" wide ascii",CVE not found
GOGGLES_APT1,AlienVault Labs,,"$pdb = ""glooxtest.pdb"" wide ascii",CVE not found
HACKSFASE1_APT1,AlienVault Labs,,$s1 = {cb 39 82 49 42 be 1f 3a},CVE not found
HACKSFASE2_APT1,AlienVault Labs,,"$s1 = ""Send to Server failed."" wide ascii",CVE not found
HACKSFASE2_APT1,AlienVault Labs,,"$s2 = ""HandShake with the server failed. Error:"" wide ascii",CVE not found
HACKSFASE2_APT1,AlienVault Labs,,"$s3 = ""Decryption Failed. Context Expired."" wide ascii",CVE not found
KURTON_APT1,AlienVault Labs,,"$s1 = ""Mozilla/4.0 (compatible; MSIE8.0; Windows NT 5.1)"" wide ascii",CVE not found
KURTON_APT1,AlienVault Labs,,"$s2 = ""!(*@)(!@PORT!(*@)(!@URL"" wide ascii",CVE not found
KURTON_APT1,AlienVault Labs,,"$s3 = ""MyTmpFile.Dat"" wide ascii",CVE not found
KURTON_APT1,AlienVault Labs,,"$s4 = ""SvcHost.DLL.log"" wide ascii",CVE not found
LONGRUN_APT1,AlienVault Labs,,"$s1 = ""Mozilla/4.0 (compatible; Windows NT 5.1; MSIE 7.0; Trident/4.0)"" wide ascii",CVE not found
LONGRUN_APT1,AlienVault Labs,,"$s2 = ""%s\\%c%c%c%c%c%c%c"" wide ascii",CVE not found
LONGRUN_APT1,AlienVault Labs,,"$s3 = ""wait:"" wide ascii",CVE not found
LONGRUN_APT1,AlienVault Labs,,"$s4 = ""Dcryption Error! Invalid Character"" wide ascii",CVE not found
MACROMAIL_APT1,AlienVault Labs,,"$s1 = ""svcMsn.dll"" wide ascii",CVE not found
MACROMAIL_APT1,AlienVault Labs,,"$s2 = ""RundllInstall"" wide ascii",CVE not found
MACROMAIL_APT1,AlienVault Labs,,"$s3 = ""Config service %s ok."" wide ascii",CVE not found
MACROMAIL_APT1,AlienVault Labs,,"$s4 = ""svchost.exe"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$s1 = ""Install an Service hosted by SVCHOST."" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$s2 = ""The Dll file that to be released."" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$s3 = ""SYSTEM\\CurrentControlSet\\Services\\"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$s4 = ""svchost.exe"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$e1 = ""Man,it's me"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$e2 = ""Oh,shit"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$e3 = ""Hallelujah"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$e4 = ""nRet == SOCKET_ERROR"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$pdb1 = ""rouji\\release\\Install.pdb"" wide ascii",CVE not found
MANITSME_APT1,AlienVault Labs,,"$pdb2 = ""rouji\\SvcMain.pdb"" wide ascii",CVE not found
MINIASP_APT1,AlienVault Labs,,"$s1 = ""miniasp"" wide ascii",CVE not found
MINIASP_APT1,AlienVault Labs,,"$s2 = ""wakeup="" wide ascii",CVE not found
MINIASP_APT1,AlienVault Labs,,"$s3 = ""download ok!"" wide ascii",CVE not found
MINIASP_APT1,AlienVault Labs,,"$s4 = ""command is null!"" wide ascii",CVE not found
MINIASP_APT1,AlienVault Labs,,"$s5 = ""device_input.asp?device_t="" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s1 = ""Mozilla/4.0 (compatible; Windows NT 5.1; MSIE 7.0)"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s2 = ""name=%s&userid=%04d&other=%c%s"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s3 = ""download ok!"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s4 = ""command is null!"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s5 = ""noclient"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s6 = ""wait"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s7 = ""active"" wide ascii",CVE not found
NEWSREELS_APT1,AlienVault Labs,,"$s8 = ""hello"" wide ascii",CVE not found
SEASALT_APT1,AlienVault Labs,,"$s1 = ""User-Agent: Mozilla/4.0 (compatible; MSIE 5.00; Windows 98) KSMM"" wide ascii",CVE not found
SEASALT_APT1,AlienVault Labs,,"$s2 = ""upfileok"" wide ascii",CVE not found
SEASALT_APT1,AlienVault Labs,,"$s3 = ""download ok!"" wide ascii",CVE not found
SEASALT_APT1,AlienVault Labs,,"$s4 = ""upfileer"" wide ascii",CVE not found
SEASALT_APT1,AlienVault Labs,,"$s5 = ""fxftest"" wide ascii",CVE not found
STARSYPOUND_APT1,AlienVault Labs,,"$s1 = ""*(SY)# cmd"" wide ascii",CVE not found
STARSYPOUND_APT1,AlienVault Labs,,"$s2 = ""send = %d"" wide ascii",CVE not found
STARSYPOUND_APT1,AlienVault Labs,,"$s3 = ""cmd.exe"" wide ascii",CVE not found
STARSYPOUND_APT1,AlienVault Labs,,"$s4 = ""*(SY)#"" wide ascii",CVE not found
SWORD_APT1,AlienVault Labs,,"$s1 = ""@***@*@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@>>>"" wide ascii",CVE not found
SWORD_APT1,AlienVault Labs,,"$s2 = ""sleep:"" wide ascii",CVE not found
SWORD_APT1,AlienVault Labs,,"$s3 = ""down:"" wide ascii",CVE not found
SWORD_APT1,AlienVault Labs,,"$s4 = ""*========== Bye Bye ! ==========*"" wide ascii",CVE not found
thequickbrow_APT1,AlienVault Labs,,"$s1 = ""thequickbrownfxjmpsvalzydg"" wide ascii",CVE not found
TABMSGSQL_APT1,AlienVault Labs,,"$s1 = ""letusgohtppmmv2.0.0.1"" wide ascii",CVE not found
TABMSGSQL_APT1,AlienVault Labs,,"$s2 = ""Mozilla/4.0 (compatible; )"" wide ascii",CVE not found
TABMSGSQL_APT1,AlienVault Labs,,"$s3 = ""filestoc"" wide ascii",CVE not found
TABMSGSQL_APT1,AlienVault Labs,,"$s4 = ""filectos"" wide ascii",CVE not found
TABMSGSQL_APT1,AlienVault Labs,,"$s5 = ""reshell"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$a = ""postvalue"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$b = ""postdata"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$c = ""postfile"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$d = ""hostname"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$e = ""clientkey"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$f = ""start Cmd Failure!"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$g = ""sleep:"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$h = ""downloadcopy:"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$i = ""download:"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$j = ""geturl:"" wide ascii",CVE not found
CCREWBACK1,AlienVault Labs,,"$k = ""1.234.1.68"" wide ascii",CVE not found
TrojanCookies_CCREW,AlienVault Labs,,"$a = ""sleep:"" wide ascii",CVE not found
TrojanCookies_CCREW,AlienVault Labs,,"$b = ""content="" wide ascii",CVE not found
TrojanCookies_CCREW,AlienVault Labs,,"$c = ""reqpath="" wide ascii",CVE not found
TrojanCookies_CCREW,AlienVault Labs,,"$d = ""savepath="" wide ascii",CVE not found
TrojanCookies_CCREW,AlienVault Labs,,"$e = ""command="" wide ascii",CVE not found
GEN_CCREW1,AlienVault Labs,,"$a = ""W!r@o#n$g"" wide ascii",CVE not found
GEN_CCREW1,AlienVault Labs,,"$b = ""KerNel32.dll"" wide ascii",CVE not found
Elise,AlienVault Labs,,"$a = ""SetElise.pdb"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$a = ""Eclipse_A"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$b = ""\\PJTS\\"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$c = ""Eclipse_Client_B.pdb"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$d = ""XiaoME"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$e = ""SunCloud-Code"" wide ascii",CVE not found
EclipseSunCloudRAT,AlienVault Labs,,"$f = ""/uc_server/data/forum.asp"" wide ascii",CVE not found
MoonProject,AlienVault Labs,,"$a = ""Serverfile is smaller than Clientfile"" wide ascii",CVE not found
MoonProject,AlienVault Labs,,"$b = ""\\M tools\\"" wide ascii",CVE not found
MoonProject,AlienVault Labs,,"$c = ""MoonDLL"" wide ascii",CVE not found
MoonProject,AlienVault Labs,,"$d = ""\\M tools\\"" wide ascii",CVE not found
ccrewDownloader1,AlienVault Labs,,$a = {DD B5 61 F0 20 47 20 57 D6 65 9C CB 31 1B 65 42},CVE not found
ccrewDownloader2,AlienVault Labs,,"$a = ""3gZFQOBtY3sifNOl"" wide ascii",CVE not found
ccrewDownloader2,AlienVault Labs,,"$b = ""docbWUWsc2gRMv9HN7TFnvnKcrWUUFdAEem9DkqRALoD"" wide ascii",CVE not found
ccrewDownloader2,AlienVault Labs,,"$c = ""6QVSOZHQPCMc2A8HXdsfuNZcmUnIqWrOIjrjwOeagILnnScxadKEr1H2MZNwSnaJ"" wide ascii",CVE not found
ccrewMiniasp,AlienVault Labs,,"$a = ""MiniAsp.pdb"" wide ascii",CVE not found
ccrewMiniasp,AlienVault Labs,,"$b = ""device_t="" wide ascii",CVE not found
ccrewSSLBack2,AlienVault Labs,,$a = {39 82 49 42 BE 1F 3A},CVE not found
ccrewSSLBack3,AlienVault Labs,,"$a = ""SLYHKAAY"" wide ascii",CVE not found
ccrewSSLBack1,AlienVault Labs,,"$a = ""!@#%$^#@!"" wide ascii",CVE not found
ccrewSSLBack1,AlienVault Labs,,"$b = ""64.91.80.6"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$a = ""ejlcmbv"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$b = ""bhxjuisv"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$c = ""yqzgrh"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$d = ""uqusofrp"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$e = ""Ljpltmivvdcbb"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$f = ""frfogjviirr"" wide ascii",CVE not found
ccrewDownloader3,AlienVault Labs,,"$g = ""ximhttoskop"" wide ascii",CVE not found
ccrewQAZ,AlienVault Labs,,"$a = ""!QAZ@WSX"" wide ascii",CVE not found
metaxcd,AlienVault Labs,,"$a = ""<meta xcd="" wide ascii",CVE not found
MiniASP,AlienVault Labs,,$KEY = { 71 30 6E 63 39 77 38 65 64 61 6F 69 75 6B 32 6D 7A 72 66 79 33 78 74 31 70 35 6C 73 36 37 67 34 62 76 68 6A },CVE not found
MiniASP,AlienVault Labs,,"$PDB = ""MiniAsp.pdb"" nocase wide ascii",CVE not found
DownloaderPossibleCCrew,AlienVault Labs,,"$a = ""%s?%.6u"" wide ascii",CVE not found
DownloaderPossibleCCrew,AlienVault Labs,,"$b = ""szFileUrl=%s"" wide ascii",CVE not found
DownloaderPossibleCCrew,AlienVault Labs,,"$c = ""status=%u"" wide ascii",CVE not found
DownloaderPossibleCCrew,AlienVault Labs,,"$d = ""down file success"" wide ascii",CVE not found
DownloaderPossibleCCrew,AlienVault Labs,,"$e = ""Mozilla/4.0 (compatible; MSIE 6.0; Win32)"" wide ascii",CVE not found
APT1_MAPIGET,AlienVault Labs,,"$s1 = ""%s\\Attachment.dat"" wide ascii",CVE not found
APT1_MAPIGET,AlienVault Labs,,"$s2 = ""MyOutlook"" wide ascii",CVE not found
APT1_MAPIGET,AlienVault Labs,,"$s3 = ""mail.txt"" wide ascii",CVE not found
APT1_MAPIGET,AlienVault Labs,,"$s4 = ""Recv Time:"" wide ascii",CVE not found
APT1_MAPIGET,AlienVault Labs,,"$s5 = ""Subject:"" wide ascii",CVE not found
APT1_LIGHTBOLT,AlienVault Labs,,"$str1 = ""bits.exe"" wide ascii",CVE not found
APT1_LIGHTBOLT,AlienVault Labs,,"$str2 = ""PDFBROW"" wide ascii",CVE not found
APT1_LIGHTBOLT,AlienVault Labs,,"$str3 = ""Browser.exe"" wide ascii",CVE not found
APT1_LIGHTBOLT,AlienVault Labs,,"$str4 = ""Protect!"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$stra1 = ""pls give the FULL path"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$stra2 = ""mapi32.dll"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$stra3 = ""doCompress"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$strb1 = ""getmail.dll"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$strb2 = ""doCompress"" wide ascii",CVE not found
APT1_GETMAIL,AlienVault Labs,,"$strb3 = ""love"" wide ascii",CVE not found
APT1_GDOCUPLOAD,AlienVault Labs,,"$str1 = ""name=\""GALX\"""" wide ascii",CVE not found
APT1_GDOCUPLOAD,AlienVault Labs,,"$str2 = ""User-Agent: Shockwave Flash"" wide ascii",CVE not found
APT1_GDOCUPLOAD,AlienVault Labs,,"$str3 = ""add cookie failed..."" wide ascii",CVE not found
APT1_GDOCUPLOAD,AlienVault Labs,,"$str4 = "",speed=%f"" wide ascii",CVE not found
APT1_WEBC2_Y21K,AlienVault Labs,,"$1 = ""Y29ubmVjdA"" wide ascii // connect",CVE not found
APT1_WEBC2_Y21K,AlienVault Labs,,"$2 = ""c2xlZXA"" wide ascii // sleep",CVE not found
APT1_WEBC2_Y21K,AlienVault Labs,,"$3 = ""cXVpdA"" wide ascii // quit",CVE not found
APT1_WEBC2_Y21K,AlienVault Labs,,"$4 = ""Y21k"" wide ascii // cmd",CVE not found
APT1_WEBC2_Y21K,AlienVault Labs,,"$5 = ""dW5zdXBwb3J0"" wide ascii // unsupport",CVE not found
APT1_WEBC2_YAHOO,AlienVault Labs,,"$http1 = ""HTTP/1.0"" wide ascii",CVE not found
APT1_WEBC2_YAHOO,AlienVault Labs,,"$http2 = ""Content-Type:"" wide ascii",CVE not found
APT1_WEBC2_YAHOO,AlienVault Labs,,"$uagent = ""IPHONE8.5(host:%s,ip:%s)"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$persis = ""SOFTWARE\\MICROSOFT\\WINDOWS\\CURRENTVERSION\\RUN"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$exe = ""DefWatch.exe"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$html = ""index1.html"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$cmd1 = ""!@#tiuq#@!"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$cmd2 = ""!@#dmc#@!"" wide ascii",CVE not found
APT1_WEBC2_UGX,AlienVault Labs,,"$cmd3 = ""!@#troppusnu#@!"" wide ascii",CVE not found
APT1_WEBC2_TOCK,AlienVault Labs,,"$1 = ""InprocServer32"" wide ascii",CVE not found
APT1_WEBC2_TOCK,AlienVault Labs,,"$2 = ""HKEY_PERFORMANCE_DATA"" wide ascii",CVE not found
APT1_WEBC2_TOCK,AlienVault Labs,,"$3 = ""<!---[<if IE 5>]id="" wide ascii",CVE not found
APT1_WEBC2_TABLE,AlienVault Labs,,"$msg1 = ""Fail To Execute The Command"" wide ascii",CVE not found
APT1_WEBC2_TABLE,AlienVault Labs,,"$msg2 = ""Execute The Command Successfully"" wide ascii",CVE not found
APT1_WEBC2_TABLE,AlienVault Labs,,$gif1 = /\w+\.gif/,CVE not found
APT1_WEBC2_TABLE,AlienVault Labs,,"$gif2 = ""GIF89"" wide ascii",CVE not found
APT1_WEBC2_RAVE,AlienVault Labs,,"$1 = ""iniet.exe"" wide ascii",CVE not found
APT1_WEBC2_RAVE,AlienVault Labs,,"$2 = ""cmd.exe"" wide ascii",CVE not found
APT1_WEBC2_RAVE,AlienVault Labs,,"$3 = ""SYSTEM\\CurrentControlSet\\Services\\DEVFS"" wide ascii",CVE not found
APT1_WEBC2_RAVE,AlienVault Labs,,"$4 = ""Device File System"" wide ascii",CVE not found
APT1_WEBC2_QBP,AlienVault Labs,,"$1 = ""2010QBP"" wide ascii",CVE not found
APT1_WEBC2_QBP,AlienVault Labs,,"$2 = ""adobe_sl.exe"" wide ascii",CVE not found
APT1_WEBC2_QBP,AlienVault Labs,,"$3 = ""URLDownloadToCacheFile"" wide ascii",CVE not found
APT1_WEBC2_QBP,AlienVault Labs,,"$4 = ""dnsapi.dll"" wide ascii",CVE not found
APT1_WEBC2_QBP,AlienVault Labs,,"$5 = ""urlmon.dll"" wide ascii",CVE not found
APT1_WEBC2_HEAD,AlienVault Labs,,"$1 = ""Ready!"" wide ascii",CVE not found
APT1_WEBC2_HEAD,AlienVault Labs,,"$2 = ""connect ok"" wide ascii",CVE not found
APT1_WEBC2_HEAD,AlienVault Labs,,"$3 = ""WinHTTP 1.0"" wide ascii",CVE not found
APT1_WEBC2_HEAD,AlienVault Labs,,"$4 = ""<head>"" wide ascii",CVE not found
APT1_WEBC2_GREENCAT,AlienVault Labs,,"$1 = ""reader_sl.exe"" wide ascii",CVE not found
APT1_WEBC2_GREENCAT,AlienVault Labs,,"$2 = ""MS80547.bat"" wide ascii",CVE not found
APT1_WEBC2_GREENCAT,AlienVault Labs,,"$3 = ""ADR32"" wide ascii",CVE not found
APT1_WEBC2_GREENCAT,AlienVault Labs,,"$4 = ""ControlService failed!"" wide ascii",CVE not found
APT1_WEBC2_DIV,AlienVault Labs,,"$1 = ""3DC76854-C328-43D7-9E07-24BF894F8EF5"" wide ascii",CVE not found
APT1_WEBC2_DIV,AlienVault Labs,,"$2 = ""HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Run"" wide ascii",CVE not found
APT1_WEBC2_DIV,AlienVault Labs,,"$3 = ""Hello from MFC!"" wide ascii",CVE not found
APT1_WEBC2_DIV,AlienVault Labs,,"$4 = ""Microsoft Internet Explorer"" wide ascii",CVE not found
APT1_WEBC2_CSON,AlienVault Labs,,"$httpa1 = ""/Default.aspx?INDEX="" wide ascii",CVE not found
APT1_WEBC2_CSON,AlienVault Labs,,"$httpa2 = ""/Default.aspx?ID="" wide ascii",CVE not found
APT1_WEBC2_CSON,AlienVault Labs,,"$httpb1 = ""Win32"" wide ascii",CVE not found
APT1_WEBC2_CSON,AlienVault Labs,,"$httpb2 = ""Accept: text*/*"" wide ascii",CVE not found
